city,year,weekofyear,total_cases
sj,2008,18,7
sj,2008,19,8
sj,2008,20,7
sj,2008,21,7
sj,2008,22,8
sj,2008,23,7
sj,2008,24,7
sj,2008,25,7
sj,2008,26,8
sj,2008,27,7
sj,2008,28,7
sj,2008,29,7
sj,2008,30,7
sj,2008,31,12
sj,2008,32,14
sj,2008,33,10
sj,2008,34,13
sj,2008,35,17
sj,2008,36,14
sj,2008,37,13
sj,2008,38,22
sj,2008,39,16
sj,2008,40,23
sj,2008,41,19
sj,2008,42,24
sj,2008,43,21
sj,2008,44,31
sj,2008,45,38
sj,2008,46,25
sj,2008,47,30
sj,2008,48,29
sj,2008,49,29
sj,2008,50,27
sj,2008,51,16
sj,2008,52,18
sj,2009,1,14
sj,2009,2,14
sj,2009,3,17
sj,2009,4,20
sj,2009,5,21
sj,2009,6,13
sj,2009,7,13
sj,2009,8,16
sj,2009,9,13
sj,2009,10,14
sj,2009,11,13
sj,2009,12,13
sj,2009,13,12
sj,2009,14,13
sj,2009,15,12
sj,2009,16,15
sj,2009,17,11
sj,2009,18,12
sj,2009,19,10
sj,2009,20,12
sj,2009,21,9
sj,2009,22,11
sj,2009,23,12
sj,2009,24,14
sj,2009,25,10
sj,2009,26,12
sj,2009,27,9
sj,2009,28,9
sj,2009,29,12
sj,2009,30,14
sj,2009,31,15
sj,2009,32,32
sj,2009,33,31
sj,2009,34,39
sj,2009,35,34
sj,2009,36,33
sj,2009,37,36
sj,2009,38,45
sj,2009,39,46
sj,2009,40,69
sj,2009,41,58
sj,2009,42,70
sj,2009,43,64
sj,2009,44,69
sj,2009,45,69
sj,2009,46,63
sj,2009,47,64
sj,2009,48,83
sj,2009,49,70
sj,2009,50,55
sj,2009,51,40
sj,2009,52,37
sj,2010,53,41
sj,2010,1,52
sj,2010,2,46
sj,2010,3,44
sj,2010,4,30
sj,2010,5,29
sj,2010,6,34
sj,2010,7,19
sj,2010,8,21
sj,2010,9,31
sj,2010,10,23
sj,2010,11,21
sj,2010,12,16
sj,2010,13,17
sj,2010,14,17
sj,2010,15,17
sj,2010,16,14
sj,2010,17,15
sj,2010,18,16
sj,2010,19,16
sj,2010,20,14
sj,2010,21,12
sj,2010,22,12
sj,2010,23,12
sj,2010,24,15
sj,2010,25,17
sj,2010,26,18
sj,2010,27,16
sj,2010,28,15
sj,2010,29,18
sj,2010,30,20
sj,2010,31,18
sj,2010,32,17
sj,2010,33,28
sj,2010,34,30
sj,2010,35,34
sj,2010,36,33
sj,2010,37,38
sj,2010,38,36
sj,2010,39,32
sj,2010,40,28
sj,2010,41,39
sj,2010,42,31
sj,2010,43,29
sj,2010,44,24
sj,2010,45,19
sj,2010,46,26
sj,2010,47,32
sj,2010,48,32
sj,2010,49,29
sj,2010,50,20
sj,2010,51,19
sj,2011,52,18
sj,2011,1,20
sj,2011,2,17
sj,2011,3,19
sj,2011,4,19
sj,2011,5,20
sj,2011,6,14
sj,2011,7,9
sj,2011,8,9
sj,2011,9,14
sj,2011,10,12
sj,2011,11,9
sj,2011,12,7
sj,2011,13,7
sj,2011,14,7
sj,2011,15,7
sj,2011,16,7
sj,2011,17,9
sj,2011,18,12
sj,2011,19,8
sj,2011,20,8
sj,2011,21,12
sj,2011,22,12
sj,2011,23,9
sj,2011,24,13
sj,2011,25,7
sj,2011,26,12
sj,2011,27,11
sj,2011,28,10
sj,2011,29,10
