city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,5
sj,2008,20,4
sj,2008,21,5
sj,2008,22,5
sj,2008,23,5
sj,2008,24,5
sj,2008,25,5
sj,2008,26,5
sj,2008,27,5
sj,2008,28,6
sj,2008,29,5
sj,2008,30,6
sj,2008,31,6
sj,2008,32,7
sj,2008,33,7
sj,2008,34,8
sj,2008,35,7
sj,2008,36,9
sj,2008,37,13
sj,2008,38,24
sj,2008,39,43
sj,2008,40,66
sj,2008,41,73
sj,2008,42,69
sj,2008,43,58
sj,2008,44,43
sj,2008,45,46
sj,2008,46,44
sj,2008,47,56
sj,2008,48,56
sj,2008,49,45
sj,2008,50,40
sj,2008,51,31
sj,2008,52,26
sj,2009,1,22
sj,2009,2,12
sj,2009,3,12
sj,2009,4,15
sj,2009,5,14
sj,2009,6,17
sj,2009,7,12
sj,2009,8,18
sj,2009,9,23
sj,2009,10,25
sj,2009,11,22
sj,2009,12,16
sj,2009,13,12
sj,2009,14,9
sj,2009,15,9
sj,2009,16,7
sj,2009,17,6
sj,2009,18,6
sj,2009,19,6
sj,2009,20,6
sj,2009,21,5
sj,2009,22,5
sj,2009,23,5
sj,2009,24,5
sj,2009,25,5
sj,2009,26,5
sj,2009,27,6
sj,2009,28,6
sj,2009,29,7
sj,2009,30,7
sj,2009,31,9
sj,2009,32,8
sj,2009,33,10
sj,2009,34,14
sj,2009,35,20
sj,2009,36,22
sj,2009,37,41
sj,2009,38,43
sj,2009,39,28
sj,2009,40,30
sj,2009,41,31
sj,2009,42,32
sj,2009,43,40
sj,2009,44,55
sj,2009,45,64
sj,2009,46,81
sj,2009,47,94
sj,2009,48,70
sj,2009,49,93
sj,2009,50,121
sj,2009,51,87
sj,2009,52,94
sj,2010,53,64
sj,2010,1,41
sj,2010,2,43
sj,2010,3,63
sj,2010,4,64
sj,2010,5,68
sj,2010,6,80
sj,2010,7,63
sj,2010,8,53
sj,2010,9,62
sj,2010,10,60
sj,2010,11,59
sj,2010,12,53
sj,2010,13,36
sj,2010,14,37
sj,2010,15,37
sj,2010,16,28
sj,2010,17,19
sj,2010,18,24
sj,2010,19,30
sj,2010,20,36
sj,2010,21,44
sj,2010,22,55
sj,2010,23,56
sj,2010,24,58
sj,2010,25,65
sj,2010,26,83
sj,2010,27,86
sj,2010,28,91
sj,2010,29,115
sj,2010,30,123
sj,2010,31,113
sj,2010,32,104
sj,2010,33,93
sj,2010,34,108
sj,2010,35,106
sj,2010,36,102
sj,2010,37,110
sj,2010,38,128
sj,2010,39,114
sj,2010,40,82
sj,2010,41,83
sj,2010,42,84
sj,2010,43,78
sj,2010,44,77
sj,2010,45,68
sj,2010,46,67
sj,2010,47,55
sj,2010,48,44
sj,2010,49,41
sj,2010,50,32
sj,2010,51,26
sj,2011,52,17
sj,2011,1,14
sj,2011,2,19
sj,2011,3,19
sj,2011,4,16
sj,2011,5,14
sj,2011,6,16
sj,2011,7,19
sj,2011,8,25
sj,2011,9,24
sj,2011,10,17
sj,2011,11,11
sj,2011,12,13
sj,2011,13,10
sj,2011,14,8
sj,2011,15,6
sj,2011,16,5
sj,2011,17,6
sj,2011,18,6
sj,2011,19,6
sj,2011,20,5
sj,2011,21,5
sj,2011,22,5
sj,2011,23,5
sj,2011,24,6
sj,2011,25,6
sj,2011,26,7
sj,2011,27,9
sj,2011,28,10
sj,2011,29,10
sj,2011,30,13
sj,2011,31,17
sj,2011,32,15
sj,2011,33,17
sj,2011,34,19
sj,2011,35,17
sj,2011,36,15
sj,2011,37,20
sj,2011,38,19
sj,2011,39,23
sj,2011,40,23
sj,2011,41,25
sj,2011,42,21
sj,2011,43,24
sj,2011,44,25
sj,2011,45,27
sj,2011,46,27
sj,2011,47,27
sj,2011,48,25
sj,2011,49,26
sj,2011,50,25
sj,2011,51,22
sj,2012,52,28
sj,2012,1,25
sj,2012,2,27
sj,2012,3,24
sj,2012,4,19
sj,2012,5,20
sj,2012,6,15
sj,2012,7,18
sj,2012,8,14
sj,2012,9,11
sj,2012,10,11
sj,2012,11,11
sj,2012,12,12
sj,2012,13,10
sj,2012,14,7
sj,2012,15,7
sj,2012,16,6
sj,2012,17,8
sj,2012,18,6
sj,2012,19,7
sj,2012,20,6
sj,2012,21,7
sj,2012,22,7
sj,2012,23,8
sj,2012,24,8
sj,2012,25,9
sj,2012,26,11
sj,2012,27,17
sj,2012,28,14
sj,2012,29,17
sj,2012,30,11
sj,2012,31,15
sj,2012,32,24
sj,2012,33,38
sj,2012,34,41
sj,2012,35,51
sj,2012,36,61
sj,2012,37,49
sj,2012,38,59
sj,2012,39,62
sj,2012,40,57
sj,2012,41,76
sj,2012,42,70
sj,2012,43,89
sj,2012,44,92
sj,2012,45,98
sj,2012,46,130
sj,2012,47,135
sj,2012,48,176
sj,2012,49,139
sj,2012,50,132
sj,2012,51,118
sj,2013,1,124
sj,2013,2,128
sj,2013,3,107
sj,2013,4,103
sj,2013,5,74
sj,2013,6,54
sj,2013,7,90
sj,2013,8,73
sj,2013,9,57
sj,2013,10,49
sj,2013,11,58
sj,2013,12,52
sj,2013,13,30
sj,2013,14,12
sj,2013,15,10
sj,2013,16,17
sj,2013,17,10
iq,2010,26,6
iq,2010,27,7
iq,2010,28,7
iq,2010,29,7
iq,2010,30,7
iq,2010,31,5
iq,2010,32,4
iq,2010,33,4
iq,2010,34,4
iq,2010,35,3
iq,2010,36,2
iq,2010,37,3
iq,2010,38,4
iq,2010,39,1
iq,2010,40,5
iq,2010,41,8
iq,2010,42,10
iq,2010,43,10
iq,2010,44,15
iq,2010,45,12
iq,2010,46,8
iq,2010,47,10
iq,2010,48,8
iq,2010,49,13
iq,2010,50,11
iq,2010,51,11
iq,2011,52,17
iq,2011,1,5
iq,2011,2,5
iq,2011,3,15
iq,2011,4,16
iq,2011,5,16
iq,2011,6,16
iq,2011,7,9
iq,2011,8,13
iq,2011,9,13
iq,2011,10,15
iq,2011,11,1
iq,2011,12,2
iq,2011,13,1
iq,2011,14,10
iq,2011,15,4
